id,text,tone_label,intent_label
1,"Cancel my subscription, please.",,request
2,I forgot my password.,,request
3,Can you help me with my account?,,request
4,I want to return my order.,,request
5,What time do you open?,,clarification_question
6,Where is my package?,,clarification_question
7,How can I update my payment method?,,request
8,Tell me more about your services.,,clarification_question
9,I need technical support.,,request
10,What are your working hours?,,clarification_question
11,@chrishasboobs AHHH I HOPE YOUR OK!!! ,negative_rude,
12,"@misstoriblack cool , i have no tweet apps  for my razr 2",negative_rude,
13,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",negative_rude,
14,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(,negative_rude,
15,upper airways problem ,negative_rude,
16,Going to miss Pastor's sermon on Faith... ,negative_rude,
17,on lunch....dj should come eat with me ,positive_friendly,
18,@piginthepoke oh why are you feeling like that? ,negative_rude,
19,gahh noo!peyton needs to live!this is horrible ,negative_rude,
20,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!,positive_friendly,
21,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! ,positive_friendly,
22,to sum up my day in one word ......... kackered! ,positive_friendly,
23,@k9wkj Great minds think alike ,positive_friendly,
24,Is Poorly and in bed! ,negative_rude,
25,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows...",positive_friendly,
26,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",positive_friendly,
27,"i'm feeling quite sleepy today, wish i could stay in bed today...but OK! is my LAST YEAR, so let's go to school ",positive_friendly,
28,@nadalnews Yeah  Mathieu totally choked in the 3rd set to let Rog win as well. Djokovic played TERRIBLY.  ,negative_rude,
29,"ugh, morning's off to a rough start ",negative_rude,
30,just bit my tongue ,negative_rude,
31,@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,negative_rude,
32,Whaddup Whaddup Whaddup Whaddup Whaddup  I Got white girl swag from MY HEAD TO MY shOES Whaddup @yungla ,positive_friendly,
33,"@GogDog I'd be willing to pay $40-50 (thus covering the cost of the set) for one of them, but if you've got a counter offer I'll listen. ",positive_friendly,
34,Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,positive_friendly,
35,"baby's chicken pox are soo bad on the face, I am afraid she might have scars ",negative_rude,
36,i don't feel good ,negative_rude,
37,@edadkins ha ha I want to see pictures from when you were a minister!!!  *boobie flahses*!!!! ,positive_friendly,
38,This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,negative_rude,
39,my car is poorly ,negative_rude,
40,im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,positive_friendly,
41,No woooooork tomorrrow&amp;tuesday ,positive_friendly,
42,Flatmates are still in the bathroom! ARGGH!! ,negative_rude,
43,I'm having an allergic reaction to silver earings ,negative_rude,
44,"@RocDoogie I am, I'll admit...  maybe I'll feel better tomorrow, yo! Down 4 studio time??",negative_rude,
45,"@jasonhooha Going back to sleep is such a great idea, unfortunately I'm already at work notebook-less ",negative_rude,
46,what is with msn making me click the wrong people. garrrrr ,negative_rude,
47,Too full of fizz but not enough cider ,negative_rude,
48,How to Get Your Ex Back (worked for me  http://bit.ly/ec8qJ,positive_friendly,
49,Time to sleep... Long day again tomorrow ,negative_rude,
50,Hahaha blakk is reckkkin it. :p throwwwwwed. ,positive_friendly,
51,Cubs game today! My first ever ,positive_friendly,
52,@SuzySpaatz ~ hi! sounds like you're feeling a bit better...that's great! you have a great day! ,positive_friendly,
53,@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,positive_friendly,
54,eating cha with eric ,positive_friendly,
55,"@StarJonesEsq On a good note, we DID meet at Marty Richards RED BALL a few years ago, you were so sweet to me I'll never forget it ",positive_friendly,
56,My hands are officially tied. I don't think I'll have time for anything anymore  This includes the California meet ,negative_rude,
57,"@Konstantine I said &quot;scar,&quot; sweetie. ",positive_friendly,
58,@CamilleJ it was supposed to go live on tv but it didn't happened in the end  that would have been cool being on the bbc...,negative_rude,
59,FCK-Brï¿½ndby 4-0! ,positive_friendly,
60,@team_allen jealous!  I'm yet to find a local chinese i'm satisfied with ,negative_rude,
61,@BayAreaCheap there r a few of us local yocals around  happy to find u on twitter 2day,positive_friendly,
62,"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",positive_friendly,
